publish_date,neg,neu,pos,compound,sentiment
2002-02-26,0.131,0.77,0.099,-0.9974,negative
2002-02-27,0.115,0.797,0.088,-0.9958,negative
2002-02-28,0.144,0.76,0.096,-0.9988,negative
2002-03-01,0.094,0.816,0.09,-0.9798,negative
2002-03-02,0.136,0.776,0.088,-0.9989,negative
2002-03-03,0.155,0.74,0.105,-0.999,negative
2002-03-04,0.134,0.761,0.105,-0.9982,negative
2002-03-05,0.119,0.799,0.083,-0.9971,negative
2002-03-06,0.131,0.777,0.092,-0.9981,negative
2002-03-07,0.087,0.85,0.063,-0.9937,negative
2002-03-08,0.097,0.808,0.096,-0.8563,negative
2002-03-09,0.159,0.754,0.087,-0.9991,negative
2002-03-10,0.16,0.773,0.067,-0.9997,negative
2002-03-11,0.1,0.826,0.074,-0.9956,negative
2002-03-12,0.067,0.858,0.075,0.9594,positive
2002-03-13,0.077,0.836,0.087,0.8533,positive
2002-03-14,0.073,0.847,0.08,0.8485,positive
2002-03-15,0.134,0.771,0.095,-0.9986,negative
2002-03-16,0.115,0.777,0.108,-0.9699,negative
2002-03-17,0.156,0.754,0.09,-0.9991,negative
2002-03-18,0.137,0.777,0.087,-0.9989,negative
2002-03-19,0.129,0.781,0.09,-0.9986,negative
2002-03-20,0.134,0.777,0.089,-0.999,negative
2002-03-21,0.158,0.763,0.078,-0.9994,negative
2002-03-22,0.115,0.81,0.075,-0.998,negative
2002-03-23,0.11,0.816,0.074,-0.9966,negative
2002-03-24,0.174,0.742,0.084,-0.9996,negative
2002-03-25,0.137,0.758,0.105,-0.9983,negative
2002-03-26,0.129,0.782,0.089,-0.9988,negative
2002-03-27,0.136,0.779,0.085,-0.9992,negative
2002-03-28,0.125,0.783,0.092,-0.9954,negative
2002-03-29,0.083,0.857,0.06,-0.9862,negative
2002-03-30,0.126,0.81,0.064,-0.9979,negative
2002-03-31,0.145,0.771,0.084,-0.9992,negative
2002-04-01,0.098,0.818,0.084,-0.9883,negative
2002-04-02,0.13,0.792,0.078,-0.9991,negative
2002-04-03,0.156,0.747,0.097,-0.9985,negative
2002-04-04,0.084,0.85,0.066,-0.9896,negative
2002-04-05,0.095,0.795,0.11,0.9815,positive
2002-04-06,0.151,0.752,0.097,-0.9987,negative
2002-04-07,0.113,0.813,0.075,-0.9961,negative
2002-04-08,0.171,0.746,0.083,-0.9997,negative
